Venue,Latitude,Longitude,Venue Category
Chopstixx,39.20766505993237,-76.72905442815936,Asian Restaurant
Pei Wei,39.198698,-76.819327,Chinese Restaurant
Hunan Express,39.21014670783698,-76.77771949509416,Chinese Restaurant
China Village,39.23668946305089,-76.7992638691158,Chinese Restaurant
East Moon Asian Bistro,39.21428530602645,-76.80214558776105,Asian Restaurant
Hunan Chinese Restaurant,39.18894157516974,-76.79243468118185,Chinese Restaurant
Hunan Lion,39.19191204607693,-76.79452417731765,Chinese Restaurant
New China Kitchen,39.19257184923123,-76.77392541841135,Chinese Restaurant
Hannah's Banana Market,39.21522327028842,-76.7593487715487,Chinese Restaurant
Great Wall,39.20573728436399,-76.72829551765878,Chinese Restaurant
Ichiban Cafe,39.19824196300034,-76.81413626931761,Asian Restaurant
Kung Fu 12 Szechuan,39.211049,-76.938821,Chinese Restaurant
P.F. Chang's,39.2161665,-76.8624169,Chinese Restaurant
Hunan Legend,39.24296339175187,-76.84210666557193,Chinese Restaurant
Peking Chef Restaurant,39.194588640563495,-76.8832756156958,Chinese Restaurant
Panda Express,39.2149215107096,-76.86156611744497,Chinese Restaurant
Bourbon Street Cajun Cafe,39.21489156397107,-76.86117965955543,Chinese Restaurant
Hunan Family,39.219473186069905,-76.87410628989258,Chinese Restaurant
Famous Wok,39.215583,-76.860294,Chinese Restaurant
Mayflower VI,39.211678,-76.884368,Chinese Restaurant
Lucky's China Inn,39.210533,-76.845235,Chinese Restaurant
Fast Wok,39.213352,-76.93660899999999,Chinese Restaurant
Hunan Diamond,39.223341999999995,-76.889364,Chinese Restaurant
China Spring,39.237694,-77.27674,Chinese Restaurant
Grace Garden,39.109187738347025,-76.72391779006273,Chinese Restaurant
Mai Dragon,39.13091346433651,-76.74058036825005,Chinese Restaurant
Panda Express,39.17045775504315,-76.78559418508496,Chinese Restaurant
New Orient Express,39.17237884439964,-76.73629550335647,Chinese Restaurant
Panda Express,39.10729,-76.739382,Chinese Restaurant
China Sea,39.12991392258874,-76.7362645140924,Chinese Restaurant
Wok A Holic,39.157383,-76.725493,Chinese Restaurant
China Dragon,39.14685792855824,-76.80836597933808,Chinese Restaurant
Peking Chinese Restaurant,39.17595019804578,-76.82921780053425,Chinese Restaurant
Golden Coast,39.13038306666667,-76.82,Chinese Restaurant
Lotus Express,39.15722184909708,-76.7255620602021,Chinese Restaurant
