Venue,Latitude,Longitude,Venue Category
Royal Farms,39.18903978095504,-76.79596869507532,Convenience Store
7-Eleven,39.2279066501768,-76.8127772212028,Convenience Store
7-Eleven,39.2365121098359,-76.7993956804275,Convenience Store
Royal Farms,39.22661873200108,-76.81712694900665,Convenience Store
Shell,39.215789192956244,-76.80453712854668,Convenience Store
Circle K,39.2520494,-76.8165179,Convenience Store
7-Eleven,39.188869663407,-76.792639195919,Convenience Store
Shell,39.25575585815519,-76.81932492191663,Convenience Store
7-Eleven,39.2019706612205,-76.7348898947238,Convenience Store
Shell,39.20709936101117,-76.72681455162946,Convenience Store
Good to Go Markets - Long Gate / Subway Sandwiches,39.25216697886008,-76.81665470498946,Sandwich Place
Circle K,39.209317503157074,-76.80115186443061,Convenience Store
Shell,39.20707944019643,-76.7265535891056,Convenience Store
Shell,39.265453,-76.79064699999999,Convenience Store
Twisted Cork,39.19122983569186,-76.7938958066892,Convenience Store
On the run,39.23392425199801,-76.81430871040448,Convenience Store
Yum Shoppe,39.25459117841775,-76.71094694109584,Convenience Store
Catonsville Mercantile,39.2649658,-76.76768659999999,Convenience Store
Walgreens,39.20739493683615,-76.72958718884371,Convenience Store
Market Place,39.215739,-76.804445,Convenience Store
Circle K,39.1995236,-76.8146551,Convenience Store
RoFo,39.189049064870424,-76.79595010737066,Convenience Store
Good to Go Markets - Columbia Crossing,39.19936483908969,-76.81479342668183,Gas Station
Walgreens,39.20913542207926,-76.94105687976374,Convenience Store
Walgreens,39.21997755731675,-76.83956377208233,Convenience Store
Hickory Ridge Sunoco / Good To Go Markets / Hickory Ridge Automotive,39.19513906029931,-76.88194178950432,Convenience Store
Shell,39.24248,-76.84054,Convenience Store
7-Eleven,39.2280287,-76.856547,Convenience Store
Kkkklk,39.18885303399534,-76.8506123414471,Convenience Store
SF Mini Market,39.205413313499875,-76.94266960522361,Convenience Store
Quik Stop Food Mart,39.21127836953591,-76.8845476360218,Convenience Store
Cradlrock Minimart,39.194043,-76.840781,Convenience Store
Royal Farms,39.26456827993242,-76.98599281993916,Convenience Store
Shell,39.263552820862564,-76.98673742483874,Convenience Store
7-Eleven,39.187367,-77.18545,Convenience Store
7-Eleven,39.2041385850093,-77.1401565018027,Convenience Store
Shell,39.24545479,-77.18958038,Gas Station
7-Eleven,39.192585,-77.24355,Convenience Store
7-Eleven,39.229442999999996,-77.251551,Convenience Store
7-Eleven,39.2047048810513,-77.2438913583755,Convenience Store
Shell,39.22961904,-77.25132198,Gas Station
"Clarksburg Market -  Beer, Wine & Grille",39.239159,-77.27902399999999,Supermarket
MOM's Organic Market,39.16945383117466,-76.78509655269377,Convenience Store
Wawa,39.15398679393625,-76.74448323612847,Convenience Store
7-Eleven,39.1829745089216,-76.7638067901135,Convenience Store
7-Eleven,39.1206582,-76.826544,Convenience Store
Dollar Tree,39.13062294698457,-76.74125509727436,Discount Store
Dollar Tree,39.152376130464624,-76.72485447928997,Discount Store
7-Eleven,39.130771814302,-76.7374084889888,Convenience Store
Shell,39.14459957379332,-76.80866427480882,Convenience Store
7-Eleven,39.1588731637158,-76.7143227159976,Convenience Store
Shell,39.158972993055954,-76.71144872903824,Convenience Store
Shell,39.11257970661181,-76.7764795416434,Convenience Store
Fort Meade Shell,39.13059288162674,-76.73913314938545,Convenience Store
Royal Farms,39.145609955989265,-76.80921033778446,Convenience Store
Shell,39.13763645193344,-76.75222769379616,Convenience Store
Dollar Tree,39.1684108658313,-76.7857270072738,Discount Store
Dash In,39.158899,-76.711481,Convenience Store
Koko's Deli & Liquor,39.175524505385525,-76.82966836852519,Convenience Store
Tigermarket,39.13143,-76.819126,Convenience Store
BP,39.167723329480914,-76.78313515627612,Convenience Store
7-Eleven,39.1293767,-76.7935041,Convenience Store
Shell,39.18279832354671,-76.82058197940151,Convenience Store
Shell,39.17254689,-76.78476188,Convenience Store
TravelCenters of America,39.166661659993856,-76.78264175707687,Convenience Store
Dollar Tree,39.1868291564455,-76.8415515627389,Discount Store
Shell,39.186031457318116,-76.8456861741298,Convenience Store
Shell,39.11946878804793,-76.85181917413578,Convenience Store
Shell,39.151345,-76.924181,Convenience Store
Royal Farms,39.109631,-76.83697,Convenience Store
Quick Stop,39.10685991674885,-76.85021252998885,Convenience Store
High's Dairy Store -Fulton,39.15136521597143,-76.92409355161925,Convenience Store
