Venue,Latitude,Longitude,Venue Category,food_group
Trader Joe's,39.18816425455717,-76.79546651078637,Supermarket,Supermarket
Target,39.197492848968906,-76.81336028682375,Big Box Store,Supermarket
Giant,39.2100649,-76.77858020000001,Supermarket,Supermarket
Green Valley Marketplace,39.206965132728186,-76.72912397103673,Supermarket,Supermarket
Safeway,39.251079626853425,-76.8187210116048,Supermarket,Supermarket
Giant Food #300,39.2277922,-76.8169075,Supermarket,Supermarket
Walmart,39.195810656418644,-76.81949763981517,Supermarket,Supermarket
Giant,39.2433562,-76.8428829,Supermarket,Supermarket
Giant,39.211500998323714,-76.935548633337,Supermarket,Supermarket
Giant Food,39.1945374,-76.88396329999999,Supermarket,Supermarket
Weis Market,39.210265,-76.845339,Supermarket,Supermarket
Safeway,39.223333700000005,-76.88944529999999,Grocery Store,Supermarket
Wegmans,39.19960654601631,-77.25622860092574,Supermarket,Supermarket
Giant,39.2033972,-77.24688520000001,Grocery Store,Supermarket
ALDI,39.19862938531822,-77.24724411964411,Supermarket,Supermarket
Walmart,39.19874557527404,-77.25178435816319,Supermarket,Supermarket
"Clarksburg Market -  Beer, Wine & Grille",39.239159,-77.27902399999998,Supermarket,Supermarket
Wegmans,39.186056788358115,-76.82006817099617,Supermarket,Supermarket
ALDI,39.18519616458408,-76.79424583911896,Supermarket,Supermarket
Food Lion Grocery Store,39.130630616539705,-76.74184302271007,Supermarket,Supermarket
Safeway,39.151871299999996,-76.7222446,Supermarket,Supermarket
Weis Markets,39.130139590786364,-76.82115154602248,Supermarket,Supermarket
Walmart,39.15540512532589,-76.73256963537665,Supermarket,Supermarket
Harris Teeter,39.14956359411922,-76.9108953453986,Supermarket,Supermarket
Harris Teeter,39.17031259345021,-76.86456865339694,Supermarket,Supermarket
Giant,39.1129016,-76.93539670000001,Supermarket,Supermarket
Food Lion Grocery Store,39.14443070147736,-76.89932886441757,Supermarket,Supermarket
Food Lion Grocery Store,39.10578428146887,-76.86350206143577,Supermarket,Supermarket
Giant Food,39.1864367,-76.8425446,Supermarket,Supermarket
Harris Teeter,39.15346642799857,-77.06235454297952,Supermarket,Supermarket
H Mart,39.153936279507754,-77.19719791551215,Supermarket,Supermarket
Safeway,39.1132151,-77.1716198,Supermarket,Supermarket
Giant,39.1552839,-77.16569840000001,Supermarket,Supermarket
Giant Food,39.18689942133293,-77.18836355952453,Supermarket,Supermarket
Weis Market,39.12754550841592,-77.18382767782951,Supermarket,Supermarket
Giant,39.13114840367968,-77.16804519295692,Supermarket,Supermarket
Harris Teeter,39.115224111081815,-77.20756447673847,Supermarket,Supermarket
99 Ranch Market,39.1498573758266,-77.20594123889764,Supermarket,Supermarket
ALDI,39.1420127,-77.2235983,Supermarket,Supermarket
Great Wall Supermarket (大中華),39.1792722078203,-77.23744744029605,Supermarket,Supermarket
Giant,39.14419879008445,-77.2176566720009,Supermarket,Supermarket
Giant Food,39.12550767463184,-77.23874151706696,Grocery Store,Supermarket
Lotte Plaza,39.12835729451976,-77.20576859622508,Supermarket,Supermarket
Giant Food,39.1597612239127,-77.27873593568802,Supermarket,Supermarket
Giant,39.114770107042425,-77.2177237272262,Supermarket,Supermarket
Safeway,39.1807089,-77.2667868,Supermarket,Supermarket
Safeway,39.119242365152466,-77.25529477761484,Supermarket,Supermarket
Shoppers,39.14781815301135,-77.2733398269719,Supermarket,Supermarket
Giant,39.1818824,-77.27120040000001,Grocery Store,Supermarket
Walmart Supercenter,39.09932678,-76.80293083,Supermarket,Supermarket
Food Lion Grocery Store,39.065629492489016,-76.71984255961324,Supermarket,Supermarket
Weis Markets,39.10158779042229,-76.71874574243519,Supermarket,Supermarket
Harris Teeter,39.093100432039535,-76.85846106395718,Supermarket,Supermarket
ALDI,39.032961265734095,-76.91200128416313,Supermarket,Supermarket
ShopRite,39.05474040910751,-76.9561818716883,Supermarket,Supermarket
Food Lion Grocery Store,39.065119432446494,-76.83720387569676,Supermarket,Supermarket
Giant Food,39.04863143474976,-76.93749189376831,Supermarket,Supermarket
Giant Food,39.09670815871932,-76.85593262314795,Supermarket,Supermarket
Supergrand,39.076314434937245,-76.84978117413941,Grocery Store,Supermarket
