Venue,Latitude,Longitude,Venue Category
Nordstrom Rack,39.19555298456925,-76.81175529956818,Discount Store
Linq Services,39.190040070066765,-76.74722671508788,Discount Store
Hobby Lobby,39.183617,-76.816762,Fabric Shop
Five Below,39.155372,-76.725045,Discount Store
Nike Factory Store,39.15714523151297,-76.72488691845967,Sporting Goods Shop
Ollie's Bargain Outlet,39.16967694487947,-76.78548254967781,Discount Store
Dollar Tree,39.13062294698457,-76.74125509727436,Discount Store
Dollar Tree,39.152376130464624,-76.72485447928997,Discount Store
Dollar Tree,39.16980487875477,-76.78531252660561,Discount Store
Goodwill,39.170074323682286,-76.78619093601175,Miscellaneous Shop
Dollar Tree,39.1684108658313,-76.7857270072738,Discount Store
Five Below,39.18425405477211,-76.79339346990582,Discount Store
Dollar Tree,39.1868291564455,-76.8415515627389,Discount Store
Nordstrom Rack,39.11665970463973,-77.18656182289129,Discount Store
Dollar Tree,39.1557719195899,-77.1986253567195,Discount Store
Dollar Tree,39.15483141345685,-77.19888225938752,Discount Store
Dollar Tree,39.1461764559397,-77.1452422100339,Discount Store
Dollar General,39.171646,-77.261352,Discount Store
Dollar Tree,39.14832090230188,-77.27431464544364,Discount Store
Dollar Tree,39.17073095034408,-77.26149377098673,Discount Store
Five Below,39.122827,-77.23562,Discount Store
Family Dollar,39.12737203093737,-77.20765786738606,Discount Store
Dollar Tree,39.17207315831893,-77.2051000644067,Discount Store
Shell,39.17304572854947,-77.20395288433343,Gas Station
Family Dollar,39.127249,-77.207075,Discount Store
Dollar General,39.144547,-77.415,Discount Store
Family Dollar,39.098931,-76.813981,Discount Store
IKEA,39.021463629067604,-76.92870414764116,Furniture / Home Store
Five Below,39.08616016385456,-76.86352504662705,Discount Store
Dollar Tree,39.09608299919317,-76.83960784060473,Discount Store
Burlington,39.094852803834215,-76.85678921849518,Discount Store
Dollar General,39.08227,-76.945608,Discount Store
Dollar Tree,39.08270700902622,-76.94522714495572,Discount Store
Family Dollar,39.08241743533058,-76.94573624237917,Discount Store
Family Dollar,39.096386,-76.84031,Discount Store
Family Dollar,39.076823674343196,-76.84985413356985,Discount Store
Dollar Tree,39.085862,-76.86383199999999,Discount Store
Five Below,39.0783815,-77.0795626,Discount Store
Tuesday Morning,39.08185634746885,-77.07905352115625,Discount Store
Dollar Tree,39.05273927209002,-77.05011155626354,Discount Store
REI,39.05085898,-77.11588976,Sporting Goods Shop
Dollar Tree,39.05290369440305,-77.10560543753326,Discount Store
Tuesday Morning,39.0617463,-77.1274151,Discount Store
Five Below,39.064936,-77.128367,Discount Store
Dollar Tree,39.05771274017925,-77.12449939015099,Discount Store
Glass & Crystal Restoration by Giovanni,39.058575,-77.185422,Discount Store
Nordstrom Rack,39.02497670224845,-77.4222475290299,Discount Store
Five Below,39.024676272118235,-77.39785299140169,Discount Store
Ollie's Bargain Outlet,39.026035,-77.38965,Discount Store
Dollar Tree,38.945909096719156,-76.73598221357696,Discount Store
Tuesday Morning,38.9809573,-76.7358904,Discount Store
Dollar Tree,38.982944033024765,-76.7305233823555,Discount Store
Dollar General,38.985568020618004,-76.75843360086162,Discount Store
Lidl,38.971486785406015,-76.77292366745195,Supermarket
Dollar Depot,38.9811153,-76.736042,Discount Store
Dollar Tree,38.964160044630944,-76.84448397564887,Discount Store
Dollar Tree,38.99264913301734,-76.87755608304381,Discount Store
Five Below,38.99899441634637,-76.91021494865618,Discount Store
Lidl,38.99611352,-76.93130172,Discount Store
Dollar General,38.964056,-76.846925,Discount Store
Family Dollar,38.96412,-76.847036,Discount Store
Family Dollar,38.94257068432722,-76.90181307805662,Discount Store
Family Dollar,38.957466,-76.920772,Discount Store
Family Dollar,38.953763,-76.874413,Discount Store
Dollar Tree,38.939785655989105,-76.90556868509557,Discount Store
Dollar Tree,38.963750860333874,-76.92009344266646,Discount Store
Dollar Tree,38.985168313253,-76.9816936947791,Discount Store
Tuesday Morning,39.02038872216298,-77.01209176304678,Discount Store
Family Dollar,38.965639,-77.02722,Discount Store
Family Dollar,38.94340717006754,-76.97331672578669,Discount Store
Dollar Tree,38.94593322621799,-76.97777353202451,Discount Store
Family Dollar,38.9508178868923,-76.96704418382889,Discount Store
Family Dollar,38.983819771806395,-76.97786096892979,Discount Store
dollar store everything $1,38.955652,-76.961524,Discount Store
DEALS,39.01940871461455,-77.0100053443214,Discount Store
best seller market,39.002827331163246,-76.96834802627563,Discount Store
Dollar Star,38.93902864569825,-77.03261098640147,Discount Store
Family Dollar,38.963279724121094,-76.96733856201172,Discount Store
Nordstrom Rack,38.9598375,-77.084696,Discount Store
Target,39.009284487525576,-77.43953061682811,Big Box Store
Dollar Tree,38.97035255551951,-77.3823618894196,Discount Store
Dollar Tree,38.997376523860694,-77.40702914407538,Discount Store
Family Dollar,38.998621,-77.405137,Discount Store
Tuesday Morning,39.01391122008963,-77.374097853899,Discount Store
Dollar Tree,39.01285515308133,-77.37324481441024,Discount Store
Dollar Tree,39.01452,-77.3721,Discount Store
Five Below,38.89543293212885,-76.82699523663445,Discount Store
Dollar Tree,38.9084400035571,-76.71948677583183,Discount Store
Dollar Tree,38.89563023590337,-76.82657269697887,Discount Store
Big Lots,38.867281374199145,-76.85373199096534,Big Box Store
Nordstrom Rack,38.9226368,-76.8466212,Discount Store
Dollar Tree,38.866474322085836,-76.85307404746571,Discount Store
Five Below,38.92180350923632,-76.95377336996273,Discount Store
Dollar Tree,38.894106,-76.950466,Discount Store
Dollar General,38.889152,-76.848178,Discount Store
Dollar Tree,38.887675,-76.900619,Discount Store
Dollar Tree,38.91525865490699,-76.8832415342331,Discount Store
Family Dollar,38.897734534711034,-76.90435205505493,Discount Store
Family Dollar,38.856703,-76.906879,Discount Store
Dollar Tree,38.90066654792841,-76.8358877624057,Discount Store
Family Dollar,38.872313,-76.930921,Discount Store
Family Dollar,38.869137,-76.892361,Discount Store
Family Dollar,38.88923937883069,-76.84816981112539,Discount Store
Family Dollar,38.92648132080478,-76.88893011978409,Discount Store
Lowest Price,38.89094689486017,-76.95255132426445,Discount Store
Dollar Tree,38.9269337176124,-76.8897420503213,Discount Store
T.J. Maxx,38.9049608,-77.0643003,Department Store
Five Below,38.928874211869896,-77.03395879629517,Discount Store
Nordstrom Rack,38.9031478,-77.0420574,Discount Store
Nordstrom Rack,38.86207714687218,-77.05846756696701,Discount Store
Dollar Tree,38.89996108160088,-76.9799648151485,Discount Store
Big Lots,38.921725983021794,-76.9987540876132,Big Box Store
Nordstrom Rack,38.89677773748374,-77.02775917790984,Discount Store
Family Dollar,38.90001114530788,-76.99067026786861,Discount Store
Family Dollar,38.93009,-76.973148,Discount Store
Express,38.8634316,-77.0601513,Clothing Store
Super Dollar,38.86525,-77.199044,Discount Store
Family Depot,38.86992,-77.14753,Discount Store
Nordstrom Rack,38.9128457,-77.2231522,Discount Store
Dollar Tree,38.899561,-77.268239,Discount Store
Tuesday Morning,38.862881,-77.27815,Discount Store
Tuesday Morning,38.90059,-77.265991,Discount Store
Dollar Tree,38.887849714565796,-77.24348974791188,Discount Store
Just $1,38.900208,-77.266362,Discount Store
Nordstrom Rack,38.859288,-77.36739,Discount Store
