Venue,Latitude,Longitude,Venue Category
Chick-fil-A,39.1976252,-76.8184957,Fast Food Restaurant
Tropical Smoothie Cafe,39.194549173507355,-76.8185038921689,Café
Five Guys,39.194824365526905,-76.8188550179412,Fast Food Restaurant
Qdoba Mexican Grill,39.199207650466384,-76.81959888343954,Fast Food Restaurant
Chick-fil-A,39.23515,-76.8146884,Fast Food Restaurant
Jimmy John's,39.19963408996394,-76.81275464332832,Fast Food Restaurant
Pei Wei,39.198698,-76.819327,Fast Food Restaurant
Jimmy John's,39.22756153956791,-76.81492942831788,Fast Food Restaurant
Subway,39.20944120701239,-76.72510691222749,Fast Food Restaurant
Gateway Pizza & Indian Cuisine,39.191700834574846,-76.79421731707218,Indian Restaurant
Subway,39.247993583778786,-76.71491772839084,Fast Food Restaurant
Chick-fil-A,39.2540789,-76.71316,Fast Food Restaurant
Subway,39.22683131568396,-76.81746136044478,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.226905,-76.816285,Fast Food Restaurant
Quiznos,39.20216287212743,-76.73460699153566,Fast Food Restaurant
Subway,39.209134395457255,-76.79705867209037,Fast Food Restaurant
Subway,39.199371,-76.814812,Fast Food Restaurant
KFC,39.20769849514108,-76.72581811380428,Fast Food Restaurant
Wendy's,39.23457630039299,-76.83002718173606,Fast Food Restaurant
Burger King,39.228147,-76.814623,Fast Food Restaurant
Hunan Carryout,39.188644,-76.79111,Fast Food Restaurant
McDonald's,39.2095744,-76.7996499,Fast Food Restaurant
McDonald's,39.25188369406488,-76.81598856110213,Fast Food Restaurant
Taco Bell/KFC,39.20774132159139,-76.72588311531085,Fast Food Restaurant
Wendy's,39.197345227594404,-76.81958131872756,Fast Food Restaurant
KFC,39.2514899284799,-76.81569157419881,Fast Food Restaurant
Chick-fil-A,39.2146387,-76.860675,Fast Food Restaurant
Five Guys,39.214831093779146,-76.8606919732146,Fast Food Restaurant
Simmies Arirang Hill Cheese Steak,39.21130420292426,-76.88460613902542,Fast Food Restaurant
Subway,39.19469226817209,-76.88311316931151,Fast Food Restaurant
Subway,39.21491829760269,-76.86152229697596,Fast Food Restaurant
Subway,39.24280946525066,-76.84225859738989,Fast Food Restaurant
Subway,39.2223275,-76.8893079,Fast Food Restaurant
McDonald's,39.214923747801286,-76.86178922653198,Fast Food Restaurant
Arby's,39.2146453,-76.8608047,Fast Food Restaurant
McDonald's,39.2218854,-76.8893405,Fast Food Restaurant
Johns Carry Out,39.214828,-76.869492,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.21659,-76.85784,Fast Food Restaurant
Charleys Philly Steaks,39.214662,-76.861028,Fast Food Restaurant
Blimpie,39.210545,-76.935374,Fast Food Restaurant
Wendy's,39.21182520032695,-76.93812064827853,Fast Food Restaurant
Subway,39.21077204613103,-76.93527407746012,Fast Food Restaurant
Subway,39.26554661756474,-76.98615154551806,Fast Food Restaurant
Burger King,39.1921329,-77.2448661,Fast Food Restaurant
McDonald's,39.198746,-77.252421,Fast Food Restaurant
Subway,39.22893382048037,-77.24988447802423,Fast Food Restaurant
Subway,39.23809292469181,-77.27616366865351,Fast Food Restaurant
Subway,39.20338,-77.248417,Fast Food Restaurant
Kung Fu Tea,39.228244,-77.28577,Fast Food Restaurant
McDonald's,39.20405121369912,-77.24454179406166,Fast Food Restaurant
Chick-fil-A,39.1531916,-76.7271091,Fast Food Restaurant
Chevys Fresh Mex,39.15989038912888,-76.72393732778959,Mexican Restaurant
Five Guys,39.15491004635253,-76.74203685062314,Fast Food Restaurant
DuClaw Brewing Company,39.160140160699356,-76.72406202184804,Bar
Chipotle Mexican Grill,39.153288699723134,-76.72458766135958,Fast Food Restaurant
Baja Fresh,39.151992,-76.723994,Fast Food Restaurant
Jimmy John's,39.130846,-76.741951,Fast Food Restaurant
Hardee's,39.130851385872845,-76.73978132053202,Fast Food Restaurant
TGI Fridays,39.152034,-76.726121,American Restaurant
Panda Express,39.17045775504315,-76.78559418508496,Fast Food Restaurant
subway,39.17571272211871,-76.74112440344076,Fast Food Restaurant
Jae's Grill,39.17353217615661,-76.81971007598096,American Restaurant
Abbys Gourmet Cafe,39.18652756179462,-76.80989856317935,Café
Popeyes Louisiana Kitchen,39.147653,-76.806996,Fast Food Restaurant
Subway,39.15517696923724,-76.74292955855464,Fast Food Restaurant
Dairy Queen,39.154958,-76.725429,Fast Food Restaurant
Subway,39.157103338790016,-76.72487415658202,Fast Food Restaurant
Subway,39.16670309737647,-76.78292155265808,Fast Food Restaurant
Subway,39.130467303995275,-76.73656850269293,Fast Food Restaurant
Subway,39.15494100227008,-76.71924014407125,Fast Food Restaurant
TGI Fridays,39.186586,-76.802127,American Restaurant
Subway,39.146978162826656,-76.80871826305986,Fast Food Restaurant
Subway,39.182440686580925,-76.7671157287084,Fast Food Restaurant
Burger King,39.17056332555142,-76.7874915898119,Fast Food Restaurant
Subway,39.122270415309075,-76.77358448718928,Fast Food Restaurant
Denny's,39.16055003809759,-76.71186400584702,Breakfast Spot
Arby's,39.168712,-76.787334,Fast Food Restaurant
Taco Bell,39.14617434683194,-76.80875116700874,Fast Food Restaurant
McDonald's,39.14525965827896,-76.80962175945751,Fast Food Restaurant
Wendy's,39.153237,-76.72769,Fast Food Restaurant
Boston Market,39.17999958619511,-76.82330422479936,Fast Food Restaurant
PepperJacks Subs and Sandwiches,39.124481,-76.794205,Sandwich Place
Pizza Primetime,39.182529,-76.767089,Fast Food Restaurant
McDonald's,39.125137,-76.792612,Fast Food Restaurant
Subway,39.10735853857266,-76.73796696693421,Fast Food Restaurant
Panera Bread,39.1418406,-76.7614647,Fast Food Restaurant
Wendy's,39.10496,-76.722299,Fast Food Restaurant
Subway,39.11396,-76.739423,Fast Food Restaurant
QDOBA Mexican Eats,39.107331,-76.737964,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.157496418873244,-76.72551147636266,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.12986893405573,-76.73690520004763,Fast Food Restaurant
Wendy's,39.182996547076364,-76.76373839378357,Fast Food Restaurant
KFC,39.108794478886985,-76.72327266576343,Fast Food Restaurant
Wendy's,39.13153171684057,-76.81933246088192,Fast Food Restaurant
Taco Bell,39.13158797040476,-76.74089419958932,Fast Food Restaurant
Subway,39.105585,-76.7681773,Fast Food Restaurant
Chick-fil-A,39.158686,-76.893987,Fast Food Restaurant
Jimmy John's,39.176694,-76.84627900000001,Fast Food Restaurant
Roy Rogers,39.111553092344955,-76.93317835610821,Fast Food Restaurant
Subway,39.16048106127998,-76.89197916394176,Fast Food Restaurant
Subway,39.186290596366405,-76.84566810339354,Fast Food Restaurant
Subway,39.10985878367268,-76.93533434535948,Fast Food Restaurant
Subway,39.169009,-76.865126,Fast Food Restaurant
McDonald's,39.170744790566275,-76.86424009501934,Fast Food Restaurant
Subway,39.17786133699849,-76.84337331182326,Fast Food Restaurant
Subway,39.143923255617615,-76.89773916886264,Fast Food Restaurant
Taco Bell,39.17665356808346,-76.84293377644231,Fast Food Restaurant
Subway,39.12181011557758,-76.84569042361068,Fast Food Restaurant
McDonald's,39.147932750425696,-76.90834524660664,Fast Food Restaurant
McDonald's,39.110545,-76.836524,Fast Food Restaurant
Burger King,39.17792344276882,-76.84354484081268,Fast Food Restaurant
Chicken Basket,39.11,-76.936051,Fast Food Restaurant
KFC,39.17721930501244,-76.84489256359939,Fast Food Restaurant
Jerry's Subs and Pizza,39.148203235147015,-76.90669064105651,Fast Food Restaurant
BK Lounge,39.11341210840398,-76.93213554332436,Fast Food Restaurant
Blimpie,39.171218,-76.864561,Fast Food Restaurant
Ted's Hickory Grill,39.10894298568294,-76.93618158562207,American Restaurant
KFC,39.112745,-76.932568,Fast Food Restaurant
Pizza Primetime,39.1067847,-76.8395649,Fast Food Restaurant
chick-fil-a,39.158683,-76.893932,Fast Food Restaurant
Asian One,39.113864587841775,-76.83422827884037,Chinese Restaurant
Burger King,39.11341192176608,-76.93222922156559,Fast Food Restaurant
Cafe Rio,39.15147033759098,-77.06437766002439,Mexican Restaurant
California Tortilla,39.15226062368181,-77.06363449110377,Mexican Restaurant
Five Guys,39.15316772204949,-77.06661168618253,Fast Food Restaurant
Subway,39.10970959781327,-76.99564980236164,Fast Food Restaurant
