Venue,Latitude,Longitude,Venue Category
Trader Joe's,39.18816425455717,-76.79546651078637,Supermarket
Target,39.197492848968906,-76.81336028682375,Big Box Store
Giant,39.2100649,-76.7785802,Supermarket
Green Valley Marketplace,39.20696513272819,-76.72912397103674,Supermarket
Safeway,39.251079626853425,-76.8187210116048,Supermarket
Giant Food #300,39.2277922,-76.8169075,Supermarket
Walmart,39.195810656418644,-76.81949763981517,Supermarket
Giant,39.2433562,-76.8428829,Supermarket
Giant,39.21150099832371,-76.93554863333702,Supermarket
Giant Food,39.1945374,-76.8839633,Supermarket
Weis Market,39.210265,-76.845339,Supermarket
Safeway,39.2233337,-76.8894453,Grocery Store
Wegmans,39.19960654601631,-77.25622860092574,Supermarket
Giant,39.2033972,-77.2468852,Grocery Store
ALDI,39.19862938531822,-77.24724411964411,Supermarket
Walmart,39.19874557527404,-77.25178435816319,Supermarket
"Clarksburg Market -  Beer, Wine & Grille",39.239159,-77.27902399999999,Supermarket
Wegmans,39.18605678835812,-76.82006817099617,Supermarket
ALDI,39.18519616458408,-76.79424583911896,Supermarket
Food Lion Grocery Store,39.130630616539705,-76.74184302271006,Supermarket
Safeway,39.1518713,-76.7222446,Supermarket
Weis Markets,39.130139590786364,-76.82115154602249,Supermarket
Walmart,39.15540512532589,-76.73256963537666,Supermarket
Harris Teeter,39.14956359411922,-76.91089534539861,Supermarket
Harris Teeter,39.170312593450205,-76.86456865339693,Supermarket
Giant,39.1129016,-76.9353967,Supermarket
Food Lion Grocery Store,39.14443070147736,-76.89932886441757,Supermarket
Food Lion Grocery Store,39.10578428146887,-76.86350206143577,Supermarket
Giant Food,39.1864367,-76.8425446,Supermarket
Harris Teeter,39.153466427998566,-77.06235454297953,Supermarket
H Mart,39.15393627950775,-77.19719791551216,Supermarket
Safeway,39.1132151,-77.1716198,Supermarket
Giant,39.1552839,-77.1656984,Supermarket
Giant Food,39.186899421332924,-77.18836355952453,Supermarket
Weis Market,39.12754550841592,-77.18382767782951,Supermarket
Giant,39.13114840367968,-77.16804519295692,Supermarket
Harris Teeter,39.115224111081815,-77.20756447673847,Supermarket
99 Ranch Market,39.1498573758266,-77.20594123889764,Supermarket
ALDI,39.1420127,-77.2235983,Supermarket
Great Wall Supermarket (大中華),39.1792722078203,-77.23744744029607,Supermarket
Giant,39.14419879008445,-77.21765667200089,Supermarket
Giant Food,39.125507674631834,-77.23874151706696,Grocery Store
Lotte Plaza,39.12835729451976,-77.2057685962251,Supermarket
Giant Food,39.1597612239127,-77.27873593568802,Supermarket
Giant,39.114770107042425,-77.2177237272262,Supermarket
Safeway,39.1807089,-77.2667868,Supermarket
Safeway,39.11924236515247,-77.25529477761484,Supermarket
Shoppers,39.14781815301135,-77.2733398269719,Supermarket
Giant,39.1818824,-77.2712004,Grocery Store
Cakes Plus,39.09593143385027,-76.80664148440897,Cupcake Shop
Walmart Supercenter,39.09932678,-76.80293083,Supermarket
Food Lion Grocery Store,39.065629492489016,-76.71984255961323,Supermarket
Weis Markets,39.1015877904223,-76.71874574243519,Supermarket
Harris Teeter,39.09310043203954,-76.85846106395717,Supermarket
ALDI,39.03296126573409,-76.91200128416313,Supermarket
ShopRite,39.05474040910751,-76.9561818716883,Supermarket
Food Lion Grocery Store,39.065119432446494,-76.83720387569676,Supermarket
Giant Food,39.04863143474976,-76.93749189376831,Supermarket
Giant Food,39.096708158719316,-76.85593262314796,Supermarket
Supergrand,39.07631443493724,-76.8497811741394,Grocery Store
ALDI,39.0838319,-76.8647283,Supermarket
Super Grand Mart,39.076204657552346,-76.84971698723466,Supermarket
Trader Joe's,39.03141791169342,-77.00390718012594,Grocery Store
H Mart,39.05252571427524,-77.05021504607343,Grocery Store
Shalom Strictly Kosher,39.040736882446225,-77.03194666743158,Supermarket
ALDI,39.0920136,-77.0473591,Supermarket
Giant Food,39.0771763,-77.0036319,Grocery Store
Giant Food,39.0800152,-77.0788785,Supermarket
Giant Food,39.0374884,-77.0585206,Supermarket
Lotte Plaza Market,39.07989092185423,-77.0720963748292,Grocery Store
Giant,39.10168720803231,-77.07502216100693,Supermarket
Giant Food,39.04097795160938,-76.98895275592798,Supermarket
Safeway,39.027658,-77.0752564,Supermarket
Balducci's Food Lover's Market,39.025061790288404,-77.12437655512335,Gourmet Shop
Grosvenor Market,39.02700871517856,-77.10669077664407,Supermarket
Trader Joe's,39.05738368620621,-77.12325694561424,Grocery Store
"Kielbasa Factory, Inc.",39.07125106485174,-77.13303931374058,Eastern European Restaurant
Harris Teeter,39.04974627343717,-77.10909812379748,Supermarket
Harris Teeter,39.061196820804525,-77.15706130706936,Supermarket
Moti's Market,39.046370795352544,-77.0995489577166,Supermarket
Giant Food,39.0552378,-77.1153866,Grocery Store
Giant,39.091000137029816,-77.20323979854578,Supermarket
Great Wall Supermarket (大中華),39.093228336117676,-77.15398567074897,Supermarket
Safeway,39.0944276,-77.1100387,Supermarket
Food Lion Grocery Store,39.07420462483158,-77.13760865182172,Supermarket
Giant Food,39.09251149627748,-77.1518862247467,Supermarket
